Jurisdiction,Measure Names,Measure Values
Washington,COVID-19 Vaccine Regimen Completed,8949
Warren,COVID-19 Vaccine Regimen Completed,16297
Vernon,COVID-19 Vaccine Regimen Completed,7481
Unknown Jurisdiction,COVID-19 Vaccine Regimen Completed,84920
Texas,COVID-19 Vaccine Regimen Completed,8561
Taney,COVID-19 Vaccine Regimen Completed,24359
Sullivan,COVID-19 Vaccine Regimen Completed,2742
Stone,COVID-19 Vaccine Regimen Completed,13698
Stoddard,COVID-19 Vaccine Regimen Completed,11708
Ste. Genevieve,COVID-19 Vaccine Regimen Completed,7034
St. Louis City,COVID-19 Vaccine Regimen Completed,191145
St. Louis,COVID-19 Vaccine Regimen Completed,681544
St. Francois,COVID-19 Vaccine Regimen Completed,31290
St. Clair,COVID-19 Vaccine Regimen Completed,3652
St. Charles,COVID-19 Vaccine Regimen Completed,261402
Shelby,COVID-19 Vaccine Regimen Completed,2708
Shannon,COVID-19 Vaccine Regimen Completed,2773
Scott,COVID-19 Vaccine Regimen Completed,16106
Scotland,COVID-19 Vaccine Regimen Completed,1406
Schuyler,COVID-19 Vaccine Regimen Completed,1429
Saline,COVID-19 Vaccine Regimen Completed,11138
Ripley,COVID-19 Vaccine Regimen Completed,3927
Reynolds,COVID-19 Vaccine Regimen Completed,1996
Ray,COVID-19 Vaccine Regimen Completed,11424
Randolph,COVID-19 Vaccine Regimen Completed,10221
Ralls,COVID-19 Vaccine Regimen Completed,4208
Putnam,COVID-19 Vaccine Regimen Completed,1591
Pulaski,COVID-19 Vaccine Regimen Completed,11950
Polk,COVID-19 Vaccine Regimen Completed,13947
Platte,COVID-19 Vaccine Regimen Completed,25276
Pike,COVID-19 Vaccine Regimen Completed,7184
Phelps,COVID-19 Vaccine Regimen Completed,20291
Pettis,COVID-19 Vaccine Regimen Completed,19193
Perry,COVID-19 Vaccine Regimen Completed,8004
Pemiscot,COVID-19 Vaccine Regimen Completed,4831
Ozark,COVID-19 Vaccine Regimen Completed,2810
Osage,COVID-19 Vaccine Regimen Completed,6157
Oregon,COVID-19 Vaccine Regimen Completed,3329
Nodaway,COVID-19 Vaccine Regimen Completed,11084
Newton,COVID-19 Vaccine Regimen Completed,16873
New Madrid,COVID-19 Vaccine Regimen Completed,6388
Morgan,COVID-19 Vaccine Regimen Completed,7864
Montgomery,COVID-19 Vaccine Regimen Completed,5417
Monroe,COVID-19 Vaccine Regimen Completed,3673
Moniteau,COVID-19 Vaccine Regimen Completed,6441
Mississippi,COVID-19 Vaccine Regimen Completed,5391
Miller,COVID-19 Vaccine Regimen Completed,10274
Mercer,COVID-19 Vaccine Regimen Completed,1428
McDonald,COVID-19 Vaccine Regimen Completed,7586
Marion,COVID-19 Vaccine Regimen Completed,12124
Maries,COVID-19 Vaccine Regimen Completed,3535
Madison,COVID-19 Vaccine Regimen Completed,4908
Macon,COVID-19 Vaccine Regimen Completed,6537
Livingston,COVID-19 Vaccine Regimen Completed,7125
Linn,COVID-19 Vaccine Regimen Completed,5548
Lincoln,COVID-19 Vaccine Regimen Completed,25938
Lewis,COVID-19 Vaccine Regimen Completed,3243
Lawrence,COVID-19 Vaccine Regimen Completed,16766
Lafayette,COVID-19 Vaccine Regimen Completed,15788
Laclede,COVID-19 Vaccine Regimen Completed,13684
Knox,COVID-19 Vaccine Regimen Completed,1711
Kansas City,COVID-19 Vaccine Regimen Completed,312072
Joplin,COVID-19 Vaccine Regimen Completed,33661
Johnson,COVID-19 Vaccine Regimen Completed,20839
Jefferson,COVID-19 Vaccine Regimen Completed,120116
Jasper,COVID-19 Vaccine Regimen Completed,27578
Jackson,COVID-19 Vaccine Regimen Completed,163569
Iron,COVID-19 Vaccine Regimen Completed,3922
Independence,COVID-19 Vaccine Regimen Completed,66552
Howell,COVID-19 Vaccine Regimen Completed,15259
Howard,COVID-19 Vaccine Regimen Completed,4566
Holt,COVID-19 Vaccine Regimen Completed,2104
Hickory,COVID-19 Vaccine Regimen Completed,4084
Henry,COVID-19 Vaccine Regimen Completed,10985
Harrison,COVID-19 Vaccine Regimen Completed,3067
Grundy,COVID-19 Vaccine Regimen Completed,4091
